,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0490099906921386,0.044433348411170366,0.02188901901245117,0.0076732389321431315,gini,,2,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",0.8029789468658995,0.8878654212074035,0.8865385032185352,0.8861362553596951,0.8877042430546526,0.8702446739412372,0.03363937145463708,4
1,0.317378568649292,0.013838581728738015,0.024994945526123045,0.007652864502995233,gini,,2,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",0.8006167215642301,0.8658312230807523,0.869306161219291,0.8722834305465543,0.8619419159081056,0.8539958904637868,0.026912408304754318,7
2,1.0327928066253662,0.044919049186562754,0.025002431869506837,0.007659670907723972,gini,,3,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'best'}",0.801375462896167,0.8876472890125658,0.8870665212649945,0.8869004854897351,0.8866713250065508,0.8699322167340025,0.03427989662966892,5
3,0.3111288070678711,0.012488193052328511,0.02811732292175293,0.006246760646708861,gini,,3,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'random'}",0.7951357303585962,0.861462961734863,0.8706110401339267,0.8751597408892611,0.8622094944377134,0.8529157935108721,0.02934579222808962,9
4,1.0398027896881104,0.03905155552637117,0.018745803833007814,0.006248641173067883,gini,,4,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",0.8004237084115748,0.8872445537443687,0.8849217607647148,0.886724465506322,0.8868060562364816,0.8692241089326924,0.03440940327094808,6
5,0.31398830413818357,0.01593009234280722,0.028118658065795898,0.00624778280797664,gini,,4,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",0.7961620367047113,0.865407085694129,0.872546848004253,0.8608255400057482,0.8466922957267616,0.8483267612271206,0.027416781431517063,11
6,0.7157155513763428,0.025933371048631453,0.01291966438293457,0.0054291850371332735,gini,10,2,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'best'}",0.7716898447197102,0.8692097466871828,0.8628094588659532,0.8665561541649399,0.865686889090107,0.8471904187055787,0.03780553668196269,15
7,0.1437234401702881,0.011679135969328536,0.015620899200439454,9.464947338714222e-07,gini,10,2,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'splitter': 'random'}",0.63573293196303,0.6185913422413567,0.6558516268581158,0.6934112189674427,0.7064386226867563,0.6620051485433402,0.033387209091916344,34
8,0.7203507900238038,0.021436474551813276,0.015622997283935547,4.7554795509584374e-06,gini,10,3,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'best'}",0.7717644674166413,0.869293652980619,0.8627641374208166,0.8665239114917915,0.8656605525888089,0.8472013443797353,0.037775910313338684,14
9,0.13434314727783203,0.007654052105626868,0.021870994567871095,0.007652864630752204,gini,10,3,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 3, 'splitter': 'random'}",0.6366713681241185,0.6754704365268889,0.7052631578947369,0.6958890866345879,0.6311853742812201,0.6688958846923104,0.030182572145596494,32
10,0.7141401290893554,0.024111930802397256,0.015620899200439454,2.3314557758224976e-05,gini,10,4,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'best'}",0.7719236030194031,0.86906593785168,0.862816719067875,0.8665362035225049,0.8657319281303681,0.8472148783183663,0.03769842732801981,13
11,0.14371590614318847,0.011697731986570654,0.015622234344482422,3.2780603870958735e-06,gini,10,4,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'splitter': 'random'}",0.6364554701999202,0.6650181091544899,0.672930503806901,0.6341488539788823,0.705290696197709,0.6627687266675805,0.0261836739498985,33
12,0.5639440536499023,0.012482592150680039,0.018736553192138673,0.006252928761662022,gini,7,2,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.7673930355462246,0.8404378271806376,0.8381301394351091,0.8381645240731116,0.8379810498899816,0.8244213152250129,0.028528678178972453,23
13,0.10804238319396972,0.0032122463425526366,0.015839815139770508,0.00043120885411802217,gini,7,2,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 2, 'splitter': 'random'}",0.6432544242702828,0.6612037648612944,0.672473714310853,0.6419306450189712,0.6575762890213961,0.6552877674965595,0.011478738550690919,41
14,0.5623602867126465,0.009889586177589636,0.015620803833007813,8.869683855885636e-07,gini,7,3,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'best'}",0.7673930355462246,0.8404378271806376,0.8381301394351091,0.8381645240731116,0.8379810498899816,0.8244213152250129,0.028528678178972453,23
15,0.09997057914733887,0.007660583417343206,0.01875295639038086,0.006244489547551687,gini,7,3,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 3, 'splitter': 'random'}",0.6432232411684939,0.6618981761604288,0.672473714310853,0.6419306450189712,0.6809448818897638,0.6600941317097021,0.015529337534151557,39
16,0.5663821697235107,0.012640134341686749,0.01873331069946289,0.006255637914061734,gini,7,4,best,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'best'}",0.7673930355462246,0.8404378271806376,0.8381301394351091,0.8381645240731116,0.8380071398100543,0.8244265332090274,0.028531160097448792,22
