,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta0,param_learning_rate,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3425565242767334,0.1437587635179058,0.02025904655456543,0.006217650943907912,0.001,constant,l2,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'l2'}",0.6663261166784357,0.6666666666666666,0.6543411215707804,0.06885273398188527,0.6667170792940215,0.5445807436383578,0.23791119043933678,20
1,0.38020100593566897,0.13675425675033545,0.012498426437377929,0.006249213603226246,0.001,constant,l1,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'l1'}",0.528876724447762,0.04851383669285959,0.012862021554974056,0.10524209683873549,0.6596506455462732,0.2710290650161209,0.2687603826127658,67
2,0.3329805850982666,0.06768793650564073,0.015614175796508789,1.1894769576637691e-05,0.001,constant,elasticnet,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.6660463440989314,0.010387073863636366,0.012599822537710735,0.03490202939118265,0.6724173735243846,0.27927052868316915,0.31852394391541533,65
3,0.6498599052429199,0.10104555407411356,0.01561579704284668,1.335195131686828e-05,0.001,optimal,l2,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.32999573924158504,0.6666567390883505,0.046143309648146565,0.6665772452234046,0.6501001059945823,0.4718946278392139,0.2485921452745591,31
4,1.089365816116333,0.3658241916555961,0.012490463256835938,0.006245242192063973,0.001,optimal,l1,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.6676028144186673,0.27661424740923257,0.6655256283217729,0.6675920950504508,0.11353747979944474,0.47817445299991357,0.2368329575151307,25
5,0.8085129737854004,0.3118215820062135,0.015620708465576172,3.26555131306914e-06,0.001,optimal,elasticnet,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'elasticnet'}",0.6903902289138116,0.6666666666666666,0.036113049546406144,0.032928195845185755,0.3631467330932104,0.3578489748130561,0.28812068198439517,49
6,0.5422560691833496,0.09420947273634282,0.0093719482421875,0.007652163799385008,0.001,invscaling,l2,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l2'}",0.39502427184466016,0.19101300748916045,0.10652633257584819,0.04118637482191426,0.6664964939413505,0.28004929613458673,0.22700390150313052,64
7,0.6297624111175537,0.1047614096640675,0.015611982345581055,1.4290484258278068e-05,0.001,invscaling,l1,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l1'}",0.5513458004540049,0.6667560201938972,0.08787073021067704,0.05200581643999658,0.32268988872762455,0.3361336512052401,0.2442012527562613,57
8,0.6467421054840088,0.108050562071679,0.012491321563720703,0.0062456734335171234,0.001,invscaling,elasticnet,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet'}",0.04762522148753187,0.20808978255786767,0.03329682365826944,0.040352544716149664,0.014863310625497655,0.06884553660906326,0.07046829656706134,72
9,1.7040956020355225,0.2377828731950042,0.015596580505371094,1.2192866929143566e-05,0.001,adaptive,l2,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'l2'}",0.6451017052237966,0.6477139895458857,0.6141886720244929,0.6185775396041931,0.6316604779369888,0.6314484768670714,0.013524676565064639,18
10,1.9447517395019531,0.2232137398070988,0.01560835838317871,1.493680505636721e-05,0.001,adaptive,l1,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'l1'}",0.6531982100552777,0.6757346699543231,0.6765591655198547,0.6779161271042934,0.6509958570574029,0.6668808059382304,0.012111027177638855,2
11,2.20481014251709,0.1557972797996826,0.015602350234985352,1.4915173617952231e-05,0.001,adaptive,elasticnet,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'elasticnet'}",0.6632023246441979,0.639360276244349,0.6388065107644941,0.5985585229797108,0.632285444103605,0.6344426157472713,0.020797448514531525,17
12,0.33921966552734373,0.07876005794415342,0.015607929229736328,1.4683642650098755e-05,0.05,constant,l2,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'l2'}",0.21382056339076397,0.028437662562857638,0.22457526131217864,0.015368494586098498,0.019613825567711286,0.10036316148392202,0.09717927128582567,71
13,0.3905461311340332,0.14820690027584768,0.015608978271484376,1.5082985686791971e-05,0.05,constant,l1,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'l1'}",0.666175497684489,0.1949362119725221,0.6661154788569367,0.0964518347695918,0.06309623430962344,0.33735505151863265,0.2719344365522535,56
14,0.37508511543273926,0.15794636891493505,0.015623331069946289,2.8926374221998405e-06,0.05,constant,elasticnet,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.6661964221395125,0.6597345064681361,0.6578346131877896,0.06282067325741458,0.058206146769809744,0.42095847236453254,0.29431883576729184,43
15,0.6531913757324219,0.10393392617173323,0.015613555908203125,1.169855611814045e-05,0.05,optimal,l2,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.32999573924158504,0.6666567390883505,0.046143309648146565,0.6665772452234046,0.6501001059945823,0.4718946278392139,0.2485921452745591,31
16,1.0872633934020997,0.37668639953774735,0.012490177154541015,0.0062450992185262,0.05,optimal,l1,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.6676028144186673,0.27661424740923257,0.6655256283217729,0.6675920950504508,0.11353747979944474,0.47817445299991357,0.2368329575151307,25
