,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,34.80232172012329,22.497364672573323,0.0783914566040039,0.016605958213671054,True,"(50,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.7677394989719273,0.7747105966162066,0.6052363816850725,0.6407536532898153,0.6428128516638724,0.6862505964453789,0.07069048785605749,5
1,25.54735231399536,13.4790931615891,0.062488365173339847,1.37706080228745e-06,True,"(50,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.7677394989719273,0.7747105966162066,0.6052363816850725,0.6407536532898153,0.6428128516638724,0.6862505964453789,0.07069048785605749,5
2,26.841194820404052,12.299239188026025,0.11893692016601562,0.012342974044480435,True,"(100,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.7681174575952147,0.6642471848666385,0.663518402183567,0.6809336842559434,0.6361242029387303,0.6825881863680189,0.04511528427246469,7
3,28.68882784843445,14.614042818547874,0.1343459129333496,0.007651443493664713,True,"(100,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.7681174575952147,0.6642471848666385,0.663518402183567,0.6809336842559434,0.6361242029387303,0.6825881863680189,0.04511528427246469,7
4,53.680254983901975,32.26239310095095,0.24157314300537108,0.024174357476608295,True,"(200,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant'}",0.6889163092230253,0.5856362136522995,0.7672685038538697,0.7655024044545684,0.6531339824862407,0.6920914827340007,0.06913933872978102,3
5,51.79305801391602,30.8150815493935,0.2318570137023926,0.01439857041650958,True,"(200,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive'}",0.6889163092230253,0.5856362136522995,0.7672685038538697,0.7655024044545684,0.6531339824862407,0.6920914827340007,0.06913933872978102,3
6,38.46951427459717,14.161224977657698,0.07185664176940917,0.007653682291107279,False,"(50,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.6686196846274567,0.7750262027579687,0.5619094977623074,0.6337151524661332,0.7219192012572803,0.6722379477742292,0.07307956866160517,9
7,38.42089295387268,14.319334589354229,0.0687333583831787,0.007654129960429906,False,"(50,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.6686196846274567,0.7750262027579687,0.5619094977623074,0.6337151524661332,0.7219192012572803,0.6722379477742292,0.07307956866160517,9
8,58.61970152854919,10.83878068558298,0.1437160015106201,0.024996769460814448,False,"(100,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.7726746899924908,0.729058524173028,0.7729537950411188,0.7708565992472184,0.2846745685173633,0.6660436353942438,0.19141523597166696,11
9,58.29103274345398,11.240751527836085,0.14371228218078613,0.020724708084368795,False,"(100,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.7726746899924908,0.729058524173028,0.7729537950411188,0.7708565992472184,0.2846745685173633,0.6660436353942438,0.19141523597166696,11
10,289.29745602607727,164.58147712255217,0.4436478614807129,0.05811609131986242,False,"(200,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant'}",0.6496519721577727,0.7686906774151606,0.744216787838731,0.7143608878683506,0.6906443179319276,0.7135129286423885,0.041446893931838785,1
11,289.3355060577393,163.60867640629294,0.4530179977416992,0.07260077020806938,False,"(200,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive'}",0.6496519721577727,0.7686906774151606,0.744216787838731,0.7143608878683506,0.6906443179319276,0.7135129286423885,0.041446893931838785,1
