,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,72.34222903251649,12.03535878154261,0.06560859680175782,0.006248784560790209,True,"(50,)",constant,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.7814346381093057,0.825284683063826,0.8253110496154098,0.8223691387925204,0.8233983043440259,0.8155595627850175,0.017099685018119457,11
1,72.34454951286315,12.767114428586005,0.06873359680175781,0.007652669974190315,True,"(50,)",adaptive,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.7814346381093057,0.825284683063826,0.8253110496154098,0.8223691387925204,0.8233983043440259,0.8155595627850175,0.017099685018119457,11
2,95.7310450553894,21.088282914746838,0.12809514999389648,0.006246566870740351,True,"(100,)",constant,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",0.7792330830629308,0.8308340834742134,0.8219069439548818,0.8235033750138319,0.8249530476353082,0.8160861066282331,0.018671737076472322,9
3,95.46232166290284,20.683993365005914,0.12023367881774902,0.0062763110465166635,True,"(100,)",adaptive,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",0.7792330830629308,0.8308340834742134,0.8219069439548818,0.8235033750138319,0.8249530476353082,0.8160861066282331,0.018671737076472322,9
4,115.96721334457398,18.70383737067717,0.23432273864746095,0.009878498824859697,True,"(200,)",constant,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'constant'}",0.7849372772300142,0.825001120925436,0.8272283813747229,0.8265045645307836,0.822289553418522,0.8171921794958956,0.016215963557736607,7
5,117.47201433181763,16.742788711952084,0.22850193977355956,0.0075801913139267865,True,"(200,)",adaptive,"{'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'adaptive'}",0.7849372772300142,0.825001120925436,0.8272283813747229,0.8265045645307836,0.822289553418522,0.8171921794958956,0.016215963557736607,7
6,281.5886040687561,29.79267646389751,0.07197604179382325,0.006091898055090825,False,"(50,)",constant,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.7908592321755027,0.8428324697754749,0.8271310397110303,0.8316318552440523,0.831931308024234,0.8248771809860587,0.01777683576198751,3
7,290.577597618103,46.81003164956174,0.0766718864440918,0.004374573492157028,False,"(50,)",adaptive,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.7908592321755027,0.8428324697754749,0.8271310397110303,0.8316318552440523,0.831931308024234,0.8248771809860587,0.01777683576198751,3
8,351.4700256824493,79.53058203365138,0.13584823608398439,0.01156215339588796,False,"(100,)",constant,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",0.7688192019023558,0.8430848655013131,0.8288264693686025,0.8376137331361211,0.8232051749271136,0.8203098889671011,0.02664705708360551,5
9,354.2557856082916,82.13952198396588,0.1374455451965332,0.008297816772307055,False,"(100,)",adaptive,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",0.7688192019023558,0.8430848655013131,0.8288264693686025,0.8376137331361211,0.8232051749271136,0.8203098889671011,0.02664705708360551,5
10,661.4154294967651,116.22992230977276,0.3730985164642334,0.02470423078422064,False,"(200,)",constant,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'constant'}",0.7798730036559555,0.8492403073698918,0.8434620037391399,0.8434065336148171,0.8385522570150469,0.8309068210789702,0.025740611321826444,1
11,659.0538506031037,113.4591232892604,0.3732762813568115,0.017365379259350194,False,"(200,)",adaptive,"{'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (200,), 'mlp__learning_rate': 'adaptive'}",0.7798730036559555,0.8492403073698918,0.8434620037391399,0.8434065336148171,0.8385522570150469,0.8309068210789702,0.025740611321826444,1
