,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta0,param_learning_rate,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3851630210876465,0.07557416023112135,0.018661022186279297,0.003698900394639832,0.001,constant,l2,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'l2'}",0.6630639247568946,0.04319841029850102,0.11216722539932952,0.03772105584110114,0.14311107749328691,0.19985233875782266,0.2350745538931502,68
1,0.44156413078308104,0.18848386374198964,0.015309953689575195,0.0008112994710699832,0.001,constant,l1,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'l1'}",0.6671248020556335,0.29436028472348974,0.6489061179042003,0.13799672343505925,0.08604355493581593,0.3668862966108397,0.24746775321826545,43
2,0.3966361522674561,0.05312634053680415,0.016561555862426757,0.001265619119282165,0.001,constant,elasticnet,"{'eta0': 0.001, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.6667967928891024,0.05325570443940237,0.6586971586971587,0.12206462704645801,0.26036451031444025,0.3522357586773124,0.2621737526491161,44
3,0.6407701015472412,0.05604651814464062,0.01533212661743164,0.0014157710915665633,0.001,optimal,l2,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.6955727978092195,0.6667163089937005,0.039185088859991335,0.03822203135065493,0.08691366138174648,0.30532197767906255,0.30749796190068507,56
4,0.867290735244751,0.07044778231132798,0.016131162643432617,0.0020685076823140107,0.001,optimal,l1,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.6992184798395463,0.667293569765359,0.44220057978567473,0.6683119447186575,0.38654601331739796,0.5727141174853271,0.13098085172446514,19
5,1.1730467796325683,0.3390411352519121,0.016536808013916014,0.0019888682297005936,0.001,optimal,elasticnet,"{'eta0': 0.001, 'learning_rate': 'optimal', 'penalty': 'elasticnet'}",0.6676412673787219,0.3413357526694117,0.04264099037138927,0.6614289480622199,0.044837656760006867,0.3515769230483499,0.2776833508566939,45
6,0.7358006477355957,0.11200155033959053,0.01540060043334961,0.0019871636888183952,0.001,invscaling,l2,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l2'}",0.6677865434802172,0.2941090162130438,0.6667262330235884,0.049535073059947726,0.055855472901168976,0.3468024677355932,0.2761074609826639,51
7,0.8132085800170898,0.08496600926780094,0.015713882446289063,0.0018956658639573015,0.001,invscaling,l1,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l1'}",0.6686378099297593,0.6667460908413998,0.2273833906557947,0.17576893924282921,0.6037990840153165,0.4684670629370199,0.2197685989590754,31
8,0.7764828205108643,0.06247884931185912,0.014323759078979491,0.0015074392793271202,0.001,invscaling,elasticnet,"{'eta0': 0.001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet'}",0.6680956306677659,0.6628704028823107,0.043822276323797926,0.04111778171295297,0.6668368112895963,0.4165485805752847,0.30543992522404934,38
9,2.1484704494476317,0.3334088454353089,0.019000482559204102,0.0013162158664702924,0.001,adaptive,l2,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'l2'}",0.7122472308723246,0.6681931820836936,0.6694636580111124,0.6759803143356088,0.6763836463686389,0.6804536063342757,0.016238882003658424,14
10,2.228294086456299,0.15713312384981765,0.01756706237792969,0.0013924995334024504,0.001,adaptive,l1,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'l1'}",0.6927713636574396,0.7024837789808653,0.6827883691303667,0.6979705029623093,0.6913303437967115,0.6934688717055385,0.0066432852039773746,6
11,2.3862762451171875,0.275765332077189,0.016722583770751955,0.0004482680312039686,0.001,adaptive,elasticnet,"{'eta0': 0.001, 'learning_rate': 'adaptive', 'penalty': 'elasticnet'}",0.70913666521079,0.7024025012341616,0.6829862110179057,0.6831319671584005,0.6792642983119174,0.691384328586635,0.012017242327659886,7
12,0.29943194389343264,0.0558434285208421,0.014942073822021484,0.000757694058331226,0.05,constant,l2,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'l2'}",0.6631842619745846,0.01763622005790998,0.026741731175228715,0.0638907619689818,0.6432854395293585,0.2829476829412127,0.3028005123976528,64
13,0.4174819469451904,0.14627156358440183,0.016131067276000978,0.0012654769887322133,0.05,constant,l1,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'l1'}",0.6608712450497441,0.05747371109881221,0.6414944189650479,0.09726149123515632,0.6721256684491979,0.42584530695959166,0.2849774391534867,34
14,0.45657920837402344,0.20829363820044464,0.014932489395141602,0.0010300062380076717,0.05,constant,elasticnet,"{'eta0': 0.05, 'learning_rate': 'constant', 'penalty': 'elasticnet'}",0.6665871086116621,0.6666666666666666,0.011100750410727767,0.04135906402452186,0.4555352370234913,0.3682497653474139,0.28985842075961404,42
15,0.6470382690429688,0.07923735761681899,0.01677384376525879,0.0020906529062298257,0.05,optimal,l2,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'l2'}",0.6955727978092195,0.6667163089937005,0.039185088859991335,0.03822203135065493,0.08691366138174648,0.30532197767906255,0.30749796190068507,56
16,0.8500500679016113,0.07571961197103885,0.015740728378295897,0.0004904480676023121,0.05,optimal,l1,"{'eta0': 0.05, 'learning_rate': 'optimal', 'penalty': 'l1'}",0.6992184798395463,0.667293569765359,0.44220057978567473,0.6683119447186575,0.38654601331739796,0.5727141174853271,0.13098085172446514,19
