,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,7.797671556472778,1.197876308854296,0.017581748962402343,0.0025320453936965525,1,l2,newton-cg,"{'C': 1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.6518824839244733,0.6590401407974007,0.6572824936375307,0.6603210748035978,0.6627749117567201,0.6582602209839445,0.0036570290378629355,7
1,1.6740337371826173,0.08730967204955731,0.015501785278320312,0.0010386686876158548,1,l2,lbfgs,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6303429301365825,0.5876413684180839,0.5793492506695538,0.5895764553175878,0.5855919911265322,0.594500399133668,0.01824771540088983,22
2,1.737127685546875,0.41773520123635755,0.016376447677612305,0.0009121297511650524,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.65112679262463,0.6587661678065958,0.6572653429602888,0.6600742782929664,0.662363838123061,0.6579192839615084,0.0037863135608479223,14
3,8.30281400680542,0.06985000245208277,0.015729284286499022,0.002273820563671569,1,l2,sag,"{'C': 1, 'penalty': 'l2', 'solver': 'sag'}",0.0003572704537334763,8.933357155619082e-05,8.933357155619082e-05,0.0003573023671281822,8.933756197793362e-05,0.00019651550519039475,0.00013126889483748786,25
4,8.65561227798462,0.06761080737143955,0.014468669891357422,0.0004897468613746205,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.0003572704537334763,8.933357155619082e-05,0.0,0.0003573023671281822,8.933756197793362e-05,0.0001786487908791566,0.00014946029120843396,31
5,0.014721918106079101,0.0007626115928953488,0.0,0.0,1,l1,newton-cg,"{'C': 1, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,61
6,0.017826318740844727,0.003730988996055941,0.0,0.0,1,l1,lbfgs,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,62
7,1.1109827041625977,0.07516889568374607,0.01899232864379883,0.0013109884285530153,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6518952822470685,0.6591309056450522,0.6572972972972972,0.6602901323130879,0.6628051677715682,0.6582837570548148,0.0036598379882976915,1
8,0.019394731521606444,0.003221644131477751,0.0,0.0,1,l1,sag,"{'C': 1, 'penalty': 'l1', 'solver': 'sag'}",,,,,,,,63
9,9.608589267730713,0.0893364621605772,0.014145517349243164,0.0008999178494267894,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.0003572704537334763,8.933357155619082e-05,0.0,0.0003573023671281822,8.933756197793362e-05,0.0001786487908791566,0.00014946029120843396,31
10,0.018626689910888672,0.003651853448890965,0.0,0.0,1,elasticnet,newton-cg,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,,,,,64
11,0.014106273651123047,5.086513850861898e-05,0.0,0.0,1,elasticnet,lbfgs,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,65
12,0.013767194747924805,0.0005345320169833965,0.0,0.0,1,elasticnet,liblinear,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,66
13,0.014296913146972656,0.00020702337590447917,0.0,0.0,1,elasticnet,sag,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,,,,,67
14,0.0135650634765625,0.0005013039866345585,0.0,0.0,1,elasticnet,saga,"{'C': 1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,68
15,8.167963314056397,0.6615157774413805,0.021697521209716797,0.0033845238593127034,10,l2,newton-cg,"{'C': 10, 'penalty': 'l2', 'solver': 'newton-cg'}",0.6518824839244733,0.6590252707581228,0.6572824936375307,0.6603056042629745,0.662729658792651,0.6582451022751504,0.0036434902532571705,12
16,1.7031028270721436,0.02564740541590252,0.01774773597717285,0.002876282124051339,10,l2,lbfgs,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6300710126053518,0.595408334264328,0.5764699153511782,0.5928258180591476,0.6321385871638983,0.6053827334887807,0.02199319280721114,19
17,1.872650384902954,0.5109031207383755,0.01739845275878906,0.0017842107888905638,10,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.6517579145928502,0.6593178224531285,0.6575626464755723,0.6595424030689135,0.662212054633174,0.6580785682447277,0.003492309006027122,13
18,8.358636665344239,0.06168793898753889,0.015888118743896486,0.0013804814114433172,10,l2,sag,"{'C': 10, 'penalty': 'l2', 'solver': 'sag'}",0.0003572704537334763,8.933357155619082e-05,8.933357155619082e-05,0.0003573023671281822,8.933756197793362e-05,0.00019651550519039475,0.00013126889483748786,25
19,8.690552473068237,0.08599615546485935,0.015323066711425781,0.001481040604786074,10,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.0003572704537334763,8.933357155619082e-05,0.0,0.0003573023671281822,8.933756197793362e-05,0.0001786487908791566,0.00014946029120843396,31
20,0.017121601104736327,0.005037898030788569,0.0,0.0,10,l1,newton-cg,"{'C': 10, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,69
21,0.016377735137939452,0.0024705366669433306,0.0,0.0,10,l1,lbfgs,"{'C': 10, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,70
